CHAR ID;CHAR NAMES;KEYS;Turkish;English;Spanish;Portuguese;German;French;Italian;Polish;Russian;ChineseSimplified;ChineseTraditional;Japanese;Korean;Indian;Arabic;Bengali;Indonesian;Thai;Vietnamese
;;narrative1_infrontOfBrokenDoor;*Dönüş Portalı Açıldı*;*Return Portal Activated*;*Portal de Retorno Activado*;*Portal de Retorno Ativado*;*Rückkehrportal aktiviert*;*Portail de retour activé*;*Portale di ritorno attivato*;*Portal powrotny aktywowany*;*Портал возврата активирован*;*返回门户已激活*;*返回門戶已激活*;*リターンポータルが起動しました*;*복귀 포털이 활성화되었습니다*;*वापसी पोर्टल सक्रिय*;*تم تفعيل بوابة العودة*;*প্রত্যাবর্তন পোর্টাল সক্রিয় হয়েছে*;*Portal Kembali Diaktifkan*;*พอร์ทัลกลับเปิดใช้งาน*;*Cổng trở về đã được kích hoạt*
1;Althea;althea1_infrontOfBrokenDoor;Gitme zamanı geldi sanırım.;Time to go, I guess.;Es hora de irme, supongo.;Acho que é hora de ir.;Ich denke, es ist Zeit zu gehen.;Je suppose qu'il est temps de partir.;Penso sia ora di andare.;Chyba czas iść.;Думаю, пора уходить.;我想该走了。;我想該走了。;行く時間かな。;이제 떠날 시간인 것 같아.;मुझे लगता है कि जाने का समय हो गया है।;أعتقد أنه حان الوقت للذهاب.;আমার মনে হয় যাওয়ার সময় হয়ে গেছে।;Kurasa ini saatnya pergi.;ฉันคิดว่าถึงเวลาไปแล้ว;Tôi đoán đã đến lúc phải đi.
;;narrative2_infrontOfBrokenDoor;*Çığlık atıyor*;*Screaming*;*Gritando*;*Gritando*;*Schreiend*;*Criant*;*Urlando*;*Krzyczy*;*Кричит*;*尖叫*;*尖叫*;*叫ぶ*;*소리치다*;*चिल्लाते हुए*;*يصرخ*;*চিৎকার করছে*;*Berteriak*;*กรีดร้อง*;*La hét*
1;Althea;txt1_PortalReopened;Eğer portal yeniden açılmasaydı ne yapardım bilmiyorum. Ama… kim açtı bu portalı? Kimseyi göremedim.;If the portal hadn’t reopened, I don’t know what I would’ve done. But… who opened it? I didn’t see anyone.;Si el portal no se hubiera reabierto, no sé qué habría hecho. Pero... ¿quién lo abrió? No vi a nadie.;Se o portal não tivesse reaberto, não sei o que eu teria feito. Mas... quem o abriu? Não vi ninguém.;Wenn sich das Portal nicht wieder geöffnet hätte, wüsste ich nicht, was ich getan hätte. Aber… wer hat es geöffnet? Ich habe niemanden gesehen.;Si le portail ne s'était pas rouvert, je ne sais pas ce que j'aurais fait. Mais… qui l'a ouvert ? Je n'ai vu personne.;Se il portale non si fosse riaperto, non so cosa avrei fatto. Ma… chi l'ha aperto? Non ho visto nessuno.;Gdyby portal się nie otworzył, nie wiem, co bym zrobił. Ale... kto go otworzył? Nikogo nie widziałem.;Если бы портал не открылся снова, я не знаю, что бы я делал. Но… кто его открыл? Я никого не видел.;如果传送门没有重新打开，我不知道我会怎么做。但是……是谁打开的？我没有看到任何人。;如果傳送門沒有重新打開，我不知道我會怎麼做。但是……是誰打開的？我沒有看到任何人。;もしポータルが再び開かなかったら、どうしたか分からない。でも…誰が開けたの？誰も見なかった。;포털이 다시 열리지 않았다면, 내가 어땠을지 모르겠어. 그런데… 누가 열었지? 아무도 보지 못했어.;अगर पोर्टल फिर से नहीं खुलता, तो मुझे नहीं पता कि मैं क्या करता। लेकिन… इसे किसने खोला? मैंने किसी को नहीं देखा।;إذا لم يُفتح البوابة من جديد، لا أعرف ماذا كنت سأفعل. لكن... من فتحه؟ لم أرَ أحداً.;যদি পোর্টালটি পুনরায় না খুলত তবে আমি কী করতাম তা জানি না। কিন্তু… কে এটি খুলল? আমি কাউকে দেখিনি।;Jika portal tidak terbuka kembali, saya tidak tahu apa yang akan saya lakukan. Tapi... siapa yang membukanya? Saya tidak melihat siapa pun.;ถ้าพอร์ทัลไม่เปิดใหม่ ฉันไม่รู้ว่าจะทำอย่างไร แต่...ใครเปิดมัน ฉันไม่เห็นใครเลย;Nếu cổng không mở lại, tôi không biết mình sẽ làm gì. Nhưng… ai đã mở nó? Tôi không thấy ai cả.
1;Althea;txt2_PortalReopened;Neyse, geri döndüğüme sevindim.;Anyway, I’m glad to be back.;De todos modos, me alegra estar de vuelta.;Enfim, estou feliz por estar de volta.;Wie auch immer, ich bin froh, zurück zu sein.;En tout cas, je suis content d'être de retour.;Comunque, sono felice di essere tornato.;Tak czy inaczej, cieszę się, że wróciłem.;В любом случае, я рад вернуться.;总之，我很高兴回来。;總之，我很高興回來。;とにかく、戻ってきてうれしいです。;어쨌든 돌아와서 기뻐.;वैसे भी, वापस आकर अच्छा लगा।;على أي حال، أنا سعيد بالعودة.;যাই হোক, ফিরে আসতে পেরে ভালো লাগছে।;Bagaimanapun, saya senang bisa kembali.;อย่างไรก็ตาม ฉันดีใจที่ได้กลับมา;Dù sao, tôi rất vui vì đã quay lại.
1;Althea;txt1_seqHungry;Keşke mutfaktayken bir şeyler yeseydim. Azıcık acıktım gibi.;I wish I had eaten something in that kitchen earlier. I’m feeling a bit hungry now.;Ojalá hubiera comido algo en esa cocina antes. Ahora tengo un poco de hambre.;Queria ter comido algo naquela cozinha antes. Estou com um pouco de fome agora.;Ich wünschte, ich hätte vorher in der Küche etwas gegessen. Jetzt habe ich ein bisschen Hunger.;J'aurais aimé avoir mangé quelque chose dans cette cuisine plus tôt. J'ai un peu faim maintenant.;Avrei voluto mangiare qualcosa in quella cucina prima. Ora ho un po' di fame.;Chciałbym, żeby wcześniej zjadł coś w tej kuchni. Teraz jestem trochę głodny.;Жаль, что я не съел что-нибудь на кухне. Теперь я немного голоден.;我真希望早些时候在厨房里吃点东西。我现在有点饿了。;我真希望早些時候在廚房裡吃點東西。我現在有點餓了。;あのキッチンで何か食べておけばよかった。今少しお腹が空いています。;부엌에서 뭔가를 먹었더라면 좋았을 텐데. 지금 약간 배고프다.;काश मैंने उस रसोई में कुछ खाया होता। अब मुझे थोड़ी भूख लग रही है।;ليتني أكلت شيئًا في تلك المطبخ في وقت سابق. أشعر ببعض الجوع الآن.;ইশ, যদি আমি আগেই রান্নাঘরে কিছু খেতাম। এখন আমি একটু ক্ষুধার্ত বোধ করছি।;Saya berharap saya makan sesuatu di dapur tadi. Sekarang saya merasa sedikit lapar.;ฉันหวังว่าฉันจะได้กินอะไรในครัวก่อนหน้านี้ ตอนนี้ฉันรู้สึกหิวนิดหน่อย;Giá mà tôi đã ăn gì đó trong bếp trước đó. Giờ tôi thấy hơi đói rồi.
1;Althea;txt2_seqHungry;Yiyecek bir şeyler bulsam iyi olacak.;I’d better try to find something to eat.;Será mejor que intente encontrar algo para comer.;É melhor eu tentar encontrar algo para comer.;Ich sollte besser versuchen, etwas zu essen zu finden.;Je ferais mieux d'essayer de trouver quelque chose à manger.;Farei meglio a cercare qualcosa da mangiare.;Lepiej spróbuję coś zjeść.;Мне лучше попробовать найти что-нибудь поесть.;我最好找点东西吃。;我最好找點東西吃。;何か食べるものを見つけたほうがいいですね。;뭔가 먹을 것을 찾는 게 좋겠다.;मुझे कुछ खाने की कोशिश करनी चाहिए।;من الأفضل أن أحاول العثور على شيء لأكله.;আমার কিছু খাওয়ার জন্য কিছু খোঁজার চেষ্টা করা উচিত।;Lebih baik saya mencoba mencari sesuatu untuk dimakan.;ฉันควรลองหาอะไรกิน;Tôi nên thử tìm thứ gì đó để ăn.
;;narrative_seqHitToHerHead;*Althea'nın kafasına bir çakıl taşı çarpar.*;*A pebble hits to Althea's head*;*Una piedra golpea la cabeza de Althea.*;*Uma pedra atinge a cabeça de Althea.*;*Ein Kiesel trifft Altheas Kopf.*;*Un caillou frappe la tête d'Althea.*;*Un sasso colpisce la testa di Althea.*;*Kamyk uderza w głowę Althei.*;*Камень ударяет Алтею по голове.*;*一颗小石子打到阿尔西亚的头上。*;*一顆小石子打到阿爾西亞的頭上。*;*小石がアルシアの頭に当たる。*;*자갈이 알테아의 머리를 때린다.*;*अल्थिया के सिर पर एक कंकड़ लगता है।*;*حصاة تضرب رأس ألثيا.*;*আলথিয়ার মাথায় একটি কঙ্কর আঘাত করে।*;*Sebuah kerikil menghantam kepala Althea.*;*ก้อนกรวดกระแทกหัวของอัลเธีย*;*Một viên sỏi va vào đầu Althea.*
1;Althea;althea1_seqHitToHerHead;O da neydi?;Wha-what was that!;¿Qué fue eso?;O-o que foi isso?!;W-wa was war das?!;Q-qu'est-ce que c'était ?!;C-cosa è stato?!;C-co co to było?!;Ч-что это было?!;那-那是什么？！;那-那是什麼？！;な、なんだったの？！;그-그게 뭐지?!;व-वह क्या था?!;ما-ما هذا؟!;ও ওটা কি ছিল?!;A-apa itu?!;อะ-อะไรมันคืออะไร?!;C-cái gì thế?!
1002;Buggha;buggha1_seqGoblinKidTalks;Sakinleş, Uggha. Şiddeti sadece gerektiğinde kullan.;Calm down, Uggha. Use violance only if it’s necessary.;Cálmate, Uggha. Usa la violencia solo si es necesario.;Acalme-se, Uggha. Use a violência apenas se for necessário.;Beruhige dich, Uggha. Wende Gewalt nur an, wenn es notwendig ist.;Calme-toi, Uggha. N'utilise la violence qu'en cas de nécessité.;Calmati, Uggha. Usa la violenza solo se necessario.;Uspokój się, Uggha. Używaj przemocy tylko wtedy, gdy jest to konieczne.;Успокойся, Угга. Используй насилие только в случае необходимости.;冷静点，乌格哈。只有在必要时才使用暴力。;冷靜點，烏格哈。只有在必要時才使用暴力。;落ち着け、ウッガ。必要な時だけ暴力を使え。;진정해, 우가. 폭력은 꼭 필요할 때만 써.;शांत हो जाओ, उग्घा। हिंसा का प्रयोग केवल तभी करो जब यह आवश्यक हो।;اهدأ يا أوغا. استخدم العنف فقط عند الضرورة.;শান্ত হও, উগ্ঘা। প্রয়োজনে সহিংসতা ব্যবহার কর।;Tenang, Uggha. Gunakan kekerasan hanya jika diperlukan.;ใจเย็นก่อนนะ อุกก้า ใช้ความรุนแรงเมื่อจำเป็นเท่านั้น;Bình tĩnh, Uggha. Chỉ dùng bạo lực khi cần thiết.
1001;Uggha;uggha1_seqGoblinKidTalks;Ama büyükbaba, bu kadın onlara benziyor!;But grandpa, she looks like them!;¡Pero abuelo, ella se parece a ellos!;Mas vovô, ela se parece com eles!;Aber Opa, sie sieht aus wie sie!;Mais grand-père, elle leur ressemble!;Ma nonno, lei assomiglia a loro!;Ale dziadku, ona wygląda jak oni!;Но дедушка, она похожа на них!;但是爷爷，她看起来像他们！;但是爺爺，她看起來像他們！;でも、おじいちゃん、彼女は彼らに似てる！;하지만 할아버지, 그녀가 그들처럼 보여!;लेकिन दादा, वह उनकी तरह दिखती है!;لكن جدي، إنها تشبههم!;কিন্তু দাদু, সে তাদের মতো দেখাচ্ছে!;Tapi kakek, dia terlihat seperti mereka!;แต่คุณปู่ เธอดูเหมือนพวกเขาเลย!;Nhưng ông ơi, cô ấy trông giống họ!
1001;Uggha;uggha2_seqGoblinKidTalks;Onların ne yaptığını unuttun mu? Dehşet vericiydi!;Did you forget what they did? It was terrible!;¿Olvidaste lo que hicieron? ¡Fue terrible!;Você esqueceu o que eles fizeram? Foi terrível!;Hast du vergessen, was sie getan haben? Es war schrecklich!;As-tu oublié ce qu'ils ont fait ? C'était terrible !;Hai dimenticato cosa hanno fatto? Era terribile!;Czy zapomniałeś, co zrobili? To było okropne!;Ты забыл, что они сделали? Это было ужасно!;你忘了他们做了什么吗？太可怕了！;你忘了他們做了什麼嗎？太可怕了！;彼らが何をしたか忘れたの？ひどかったよ！;그들이 한 일을 잊었어? 끔찍했어!;क्या तुम भूल गए कि उन्होंने क्या किया? यह भयानक था!;هل نسيت ما فعلوه؟ كان ذلك مروعاً!;তুমি কি ভুলে গিয়েছিলে তারা কী করেছিল? এটি ভয়ানক ছিল!;Apa kau lupa apa yang mereka lakukan? Itu mengerikan!;คุณลืมสิ่งที่พวกเขาทำหรือเปล่า? มันน่ากลัวมาก!;Ông quên những gì họ đã làm rồi sao? Thật kinh khủng!
1002;Buggha;buggha2_seqGoblinKidTalks;Tabii ki de unutmadım ama sen prensiplerimizi unutmuş gibi görünüyorsun!;Of course I didn’t forget. But it seems you’ve forgotten our principles!;Por supuesto que no lo olvidé, pero parece que tú has olvidado nuestros principios.;É claro que eu não me esqueci. Mas parece que você se esqueceu dos nossos princípios!;Natürlich habe ich es nicht vergessen. Aber es scheint, dass du unsere Prinzipien vergessen hast!;Bien sûr que je n'ai pas oublié. Mais il semble que tu aies oublié nos principes !;Certo che non ho dimenticato. Ma sembra che tu abbia dimenticato i nostri principi!;Oczywiście, że nie zapomniałem. Ale wygląda na to, że ty zapomniałeś o naszych zasadach!;Конечно, я не забыл. Но кажется, ты забыл наши принципы!;当然我没有忘记。但是你似乎忘了我们的原则！;當然我沒有忘記。但是你似乎忘了我們的原則！;もちろん忘れていないよ。でも君は僕たちの原則を忘れたようだね！;물론 나는 잊지 않았어. 하지만 너는 우리의 원칙을 잊은 것 같아!;बिल्कुल नहीं भूला। लेकिन ऐसा लगता है कि तुम हमारे सिद्धांतों को भूल गए हो!;بالطبع لم أنسَ. ولكن يبدو أنك قد نسيت مبادئنا!;অবশ্যই আমি ভুলে যাইনি। কিন্তু মনে হচ্ছে তুমি আমাদের নীতিগুলি ভুলে গিয়েছ!;Tentu saja aku tidak lupa. Tapi sepertinya kau lupa prinsip-prinsip kita!;แน่นอน ฉันไม่ลืม แต่ดูเหมือนเธอจะลืมหลักการของเราไปแล้ว!;Tất nhiên là tôi không quên. Nhưng có vẻ như ông đã quên các nguyên tắc của chúng ta!
1002;Buggha;buggha3_seqGoblinKidTalks;İyilik yap, kötülük yapma, sıkı çalış ve harekete geçmeden önce düşün.;Do good, avoid evil, work hard, and think before you act. Now, guess who didn’t follow any of those.;Haz el bien, evita el mal, trabaja duro y piensa antes de actuar. Ahora, adivina quién no siguió ninguno de esos.;Faça o bem, evite o mal, trabalhe duro e pense antes de agir. Agora, adivinhe quem não seguiu nada disso.;Tu Gutes, vermeide Böses, arbeite hart und denke nach, bevor du handelst. Nun, rate mal, wer sich an nichts davon gehalten hat.;Fais le bien, évite le mal, travaille dur et réfléchis avant d'agir. Maintenant, devine qui n'a suivi aucun de ces principes.;Fai del bene, evita il male, lavora sodo e pensa prima di agire. Ora, indovina chi non ha seguito nessuno di questi.;Czyń dobro, unikaj zła, pracuj ciężko i pomyśl, zanim zaczniesz działać. Teraz zgadnij, kto nie przestrzegał żadnej z tych zasad.;Делай добро, избегай зла, трудись усердно и думай, прежде чем действовать. А теперь угадай, кто этого не сделал.;做好事，避免作恶，努力工作，行动前三思。现在，猜猜谁没有遵守这些？;做好事，避免作惡，努力工作，行動前三思。現在，猜猜誰沒有遵守這些？;良いことをして、悪を避け、努力し、行動する前に考える。そして、誰がそれを守らなかったか考えてみて。;선을 행하고 악을 피하며 열심히 일하고 행동하기 전에 생각하라. 자, 누가 그것을 따르지 않았는지 맞춰봐.;अच्छा करो, बुरा मत करो, कड़ी मेहनत करो और कार्रवाई करने से पहले सोचो। अब, अनुमान लगाओ कि इनमें से किसी का पालन किसने नहीं किया।;افعل الخير، وتجنب الشر، واعمل بجد وفكر قبل أن تتصرف. الآن، خمن من لم يتبع أي من هذه.;ভাল কর, খারাপ করো না, কঠোর পরিশ্রম কর এবং কাজ করার আগে ভাব। এখন, অনুমান কর কে এগুলোর কোনোটিই অনুসরণ করেনি।;Lakukan kebaikan, hindari kejahatan, bekerja keras, dan berpikir sebelum bertindak. Sekarang, tebak siapa yang tidak mengikuti salah satunya.;ทำความดี หลีกเลี่ยงความชั่ว ทำงานหนัก และคิดก่อนลงมือทำ ตอนนี้ลองเดาสิว่าใครไม่ทำตามเลยสักข้อ;Làm điều tốt, tránh điều ác, làm việc chăm chỉ và suy nghĩ trước khi hành động. Bây giờ, đoán xem ai không làm theo bất kỳ điều nào trong số đó.
1;Althea;althea1_seqSorryToInterrupt;Hey, bekleyin! Bölüyorum ama, size zarar verme gibi bir niyetim yok.;Hey, hold on! Sorry to interrupt, but I didn’t mean to harm you!;¡Espera! Perdón por interrumpir, pero no tenía intención de hacerte daño!;Ei, espere! Desculpe interromper, mas não quis te machucar!;Hey, warte! Entschuldigung, dass ich unterbreche, aber ich wollte dir nichts tun!;Hé, attends! Désolé d'interrompre, mais je ne voulais pas te faire de mal!;Ehi, aspetta! Scusa se ti interrompo, ma non volevo farti del male!;Hej, zaczekaj! Przepraszam, że przerywam, ale nie chciałem cię skrzywdzić!;Эй, подожди! Извините за беспокойство, но я не хотел вам навредить!;嘿，等等！抱歉打扰了，但我没有想伤害你！;嘿，等等！抱歉打擾了，但我沒有想傷害你！;ちょっと待って！邪魔してごめん、でも君を傷つけるつもりはなかったんだ！;헤이, 잠깐! 방해해서 미안한데, 널 해치려던 건 아니야!;अरे, रुको! बाधा डालने के लिए क्षमा करें, लेकिन मेरा आपको चोट पहुँचाने का कोई इरादा नहीं था!;مهلاً، انتظر! آسف للمقاطعة، لكنني لم أقصد إيذاءك!;আরে, অপেক্ষা করো! বিরক্ত করার জন্য দুঃখিত, কিন্তু আমি তোমাকে ক্ষতি করার উদ্দেশ্য করিনি!;Hei, tunggu! Maaf mengganggu, tapi saya tidak bermaksud menyakitimu!;เฮ้ เดี๋ยวก่อน! ขอโทษที่ขัดจังหวะ แต่ฉันไม่ได้ตั้งใจจะทำร้ายคุณ!;Này, đợi đã! Xin lỗi vì đã làm phiền, nhưng tôi không có ý định làm hại bạn!
1;Althea;althea2_seqSorryToInterrupt;Sadece birazcık acıkmıştım, yiyecek bir şeyler arıyordum.;I’m just hungry, searching for something to eat.;Solo tenía un poco de hambre, estaba buscando algo para comer.;Só estou com um pouco de fome, procurando algo para comer.;Ich war nur ein bisschen hungrig und suchte etwas zu essen.;J'avais juste un peu faim, je cherchais quelque chose à manger.;Avevo solo un po' di fame, cercavo qualcosa da mangiare.;Byłem tylko trochę głodny i szukałem czegoś do jedzenia.;Я просто был немного голоден, искал что-нибудь поесть.;我只是有点饿，在找点吃的。;我只是有點餓，在找點吃的。;ちょっとお腹が空いただけで、何か食べ物を探していたんです。;그냥 조금 배가 고파서 먹을 것을 찾고 있었어요.;मुझे बस थोड़ी भूख लगी थी, कुछ खाने के लिए ढूंढ रहा था।;كنت فقط جائعًا قليلاً، وأبحث عن شيء لأكله.;আমি শুধু একটু ক্ষুধার্ত ছিলাম, কিছু খাওয়ার জন্য খুঁজছিলাম।;Saya hanya lapar sedikit, mencari sesuatu untuk dimakan.;ฉันแค่หิวเล็กน้อย กำลังมองหาอะไรบางอย่างกิน;Tôi chỉ đói một chút, đang tìm cái gì đó để ăn.
1001;Uggha;uggha1_seqGoblinKidAngry;BİZE YALAN SÖYLEME!;DON'T LIE TO US!;¡NO NOS MIENTAS!;NÃO MINTA PARA NÓS!;LÜG UNS NICHT AN!;NE NOUS MENS PAS!;NON MENTIRE A NOI!;NIE KŁAM NAM!;НЕ ВРАТЬ НАМ!;别骗我们！;別騙我們！;嘘をつくな！;우리에게 거짓말하지 마!;हमसे झूठ मत बोलो!;لا تكذب علينا!;আমাদের মিথ্যা বলো না!;JANGAN BERBOHONG KEPADA KAMI!;อย่าโกหกเรา!;ĐỪNG NÓI DỐI VỚI CHÚNG TÔI!
1002;Buggha;buggha1_seqGoblinKidAngry;Sakinleş, Uggha, sakinleş. Torunumun demek istediği şu ki, sen portalları kullanıyorsun. Aynı onlar gibi.;Calm down, Uggha, calm down. What my grandson means is that you’re using portals, just like them.;Tranquilízate, Uggha, tranquilízate. Lo que mi nieto quiere decir es que estás usando portales, igual que ellos.;Acalme-se, Uggha, acalme-se. O que meu neto quer dizer é que você está usando portais, assim como eles.;Beruhige dich, Uggha, beruhige dich. Was mein Enkel meint, ist, dass du Portale benutzt, genau wie sie.;Calme-toi, Uggha, calme-toi. Ce que mon petit-fils veut dire, c'est que tu utilises des portails, tout comme eux.;Calmati, Uggha, calmati. Quello che mio nipote intende è che stai usando portali, proprio come loro.;Uspokój się, Uggha, uspokój się. To, co mój wnuk ma na myśli, to że używasz portali, tak jak oni.;Успокойся, Угга, успокойся. То, что имеет в виду мой внук, это то, что ты используешь порталы, как и они.;冷静点，乌格哈，冷静点。我的孙子意思是你在使用传送门，就像他们一样。;冷靜點，烏格哈，冷靜點。我孫子的意思是你在使用傳送門，就像他們一樣。;落ち着け、ウッガ、落ち着け。私の孫が言いたいのは、あなたが彼らと同じようにポータルを使っているということだ。;진정해, 우가, 진정해. 내 손자가 말하려는 것은 네가 그들처럼 포털을 사용하고 있다는 거야.;शांत हो जाओ, उग्घा, शांत हो जाओ। मेरे पोते का मतलब है कि आप पोर्टल का उपयोग कर रहे हैं, ठीक उनके जैसा।;اهدأ، أوغا، اهدأ. ما يقصده حفيدي هو أنك تستخدم البوابات، تمامًا مثلهم.;শান্ত হও, উগ্ঘা, শান্ত হও। আমার নাতির যা বলার তা হল তুমি পোর্টাল ব্যবহার করছ, ঠিক তাদের মতো।;Tenang, Uggha, tenang. Maksud cucuku adalah kau menggunakan portal, sama seperti mereka.;ใจเย็นก่อนนะ อุกก้า ใจเย็น หลานของฉันหมายความว่าเธอกำลังใช้พอร์ทัล เหมือนกับพวกเขา;Bình tĩnh nào, Uggha, bình tĩnh nào. Ý của cháu tôi là cậu đang sử dụng cổng, giống như bọn họ.
