CHAR ID;CHAR NAMES;KEYS;Turkish;English;Spanish;Portuguese;German;French;Italian;Polish;Russian;ChineseSimplified;ChineseTraditional;Japanese;Korean;Indian;Arabic;Bengali;Indonesian;Thai;Vietnamese
1;Althea;imReallyBored;Hmm. Çok sıkıldım.;Hmm. I’m so bored right now.;Hmm. Estoy tan aburrida ahora mismo.;Hmm. Estou tão entediada agora.;Hmm. Mir ist gerade so langweilig.;Hmm. Je m’ennuie tellement en ce moment.;Hmm. Mi annoio così tanto adesso.;Hmm. Jestem teraz tak znudzona.;Хм. Мне сейчас так скучно.;嗯。我现在好无聊。;嗯。我現在好無聊。;うーん。今とても退屈しています。;흠. 지금 너무 지루해요.;हम्म। मैं अभी बहुत ऊब गई हूँ।;هممم. أشعر بالملل الشديد الآن.;হুম। আমি এখন খুবই বিরক্ত।;Hmm. Saya sangat bosan sekarang.;อืมม ฉันเบื่อมากตอนนี้;Hmm. Tôi đang rất chán ngay bây giờ.
1;Althea;howLongShouldIWalk;Birşeyler olması için daha ne kadar yürümem gerek?;How long do I have to walk before something actually happens?;¿Cuánto tiempo tengo que caminar antes de que pase algo?;Quanto tempo eu tenho que andar antes que algo realmente aconteça?;Wie lange muss ich laufen, bevor etwas passiert?;Combien de temps dois-je marcher avant que quelque chose se passe?;Quanto tempo devo camminare prima che succeda qualcosa?;Jak długo muszę chodzić, zanim coś się stanie?;Как долго мне нужно идти, прежде чем что-то случится?;我需要走多久才能发生点什么？;我需要走多久才能發生點什麼？;どれくらい歩けば何かが起こるのでしょうか？;얼마나 걸어야 무언가가 일어날까요?;मुझे कुछ होने से पहले कितना चलना होगा?;كم من الوقت علي أن أمشي قبل أن يحدث شيء ما؟;কিছু ঘটার আগে আমাকে কতক্ষণ হাঁটতে হবে?;Berapa lama saya harus berjalan sebelum sesuatu benar-benar terjadi?;ฉันต้องเดินอีกนานแค่ไหนก่อนที่จะมีบางอย่างเกิดขึ้น?;Tôi phải đi bao lâu trước khi có chuyện gì đó xảy ra?
;;portalOpens;*Bir portal açılır ve başka bir boyuta giden bir geçit ortaya çıkar.*;*A portal opens, revealing a gateway to another dimension.*;*Un portal se abre, revelando una puerta a otra dimensión.*;*Um portal se abre, revelando um portal para outra dimensão.*;*Ein Portal öffnet sich und enthüllt ein Tor zu einer anderen Dimension.*;*Un portail s’ouvre, révélant un passage vers une autre dimension.*;*Si apre un portale, rivelando un passaggio verso un’altra dimensione.*;*Otwiera się portal, ukazując przejście do innego wymiaru.*;*Открывается портал, открывающий путь в другое измерение.*;*一个传送门打开，显现出通往另一个维度的入口。*;*一個傳送門打開，顯現出通往另一個維度的入口。*;*ポータルが開き、別の次元への入り口が現れる。*;*포털이 열리고 다른 차원으로 가는 관문이 나타납니다.*;*एक पोर्टल खुलता है, जो एक और आयाम के लिए एक प्रवेश द्वार का खुलासा करता है।*;*يفتح بوابة تكشف عن بوابة إلى بُعد آخر.*;*একটি পোর্টাল খোলে, যা অন্য একটি মাত্রায় যাওয়ার একটি প্রবেশপথ প্রকাশ করে।*;*Sebuah portal terbuka, memperlihatkan gerbang ke dimensi lain.*;*พอร์ทัลเปิดเผยประตูสู่มิติอื่น*;*Một cánh cổng mở ra, tiết lộ lối vào đến một chiều không gian khác.*
1;Althea;isThatAPicture;Bu da ne? Bir resim mi?;What’s this? A picture?;¿Qué es esto? ¿Una imagen?;O que é isso? Uma imagem?;Was ist das? Ein Bild?;Qu'est-ce que c'est? Une image?;Cos'è questo? Una foto?;Co to jest? Obraz?;Что это? Картина?;这是什么？一张图片？;這是什麼？一張圖片？;これは何？絵？;이게 뭐야? 그림?;यह क्या है? एक चित्र?;ما هذا؟ صورة؟;এটা কি? একটি ছবি?;Apa ini? Sebuah gambar?;นี่คืออะไร? รูปภาพ?;Cái gì đây? Một bức tranh?
1;Althea;noWaitIKnow;Hayır, bekle biraz! Bu bir resim değil!;No, wait! I know! This isn’t a picture!;¡No, espera! ¡Lo sé! ¡Esto no es una imagen!;Não, espera! Eu sei! Isso não é uma imagem!;Nein, warte! Ich weiß! Das ist kein Bild!;Non, attends! Je sais! Ce n'est pas une image!;No, aspetta! Lo so! Non è una foto!;Nie, czekaj! Wiem! To nie jest obraz!;Нет, подожди! Я знаю! Это не картина!;不，等等！我知道！这不是一张图片！;不，等等！我知道！這不是一張圖片！;いいえ、待って！これは絵じゃない！;아니야, 기다려! 이건 그림이 아니야!;नहीं, रुको! मैं जानता हूँ! यह एक चित्र नहीं है!;لا، انتظر! أنا أعرف! هذه ليست صورة!;না, অপেক্ষা কর! আমি জানি! এটা ছবি নয়!;Tidak, tunggu! Aku tahu! Ini bukan gambar!;ไม่, รอเดี๋ยว! ฉันรู้! นี่ไม่ใช่รูปภาพ!;Không, đợi đã! Tôi biết! Đây không phải là một bức tranh!
1;Althea;itsMagicalPicture;*Yavaşça* Bu büyüülüü bir resiiiim!;*Slowly* It’s a maaagical pictureee!;*Lentamente* ¡Es una imagen mágicaaa!;*Lentamente* É uma imagem mágicaaa!;*Langsam* Es ist ein maaaaagisches Bild!;*Lentement* C'est une image maaagique!;*Lentamente* È una foto maaaagica!;*Powoli* To jest maaaagiczny obraz!;*Медленно* Это маааагическая картина!;*慢慢地* 这是一张魔法图片！;*慢慢地* 這是一張魔法圖片！;*ゆっくりと* これは魔法の絵です！;*천천히* 이건 마법의 그림이야!;*धीरे से* यह एक जादुई चित्र है!;*ببطء* إنها صورة ماااجية!;*ধীরে ধীরে* এটি একটি যাদুকরী ছবি!;*Perlahan* Ini adalah gambar ajaib!;*ช้าๆ* นี่คือภาพวิเศษ!;*Từ từ* Đây là một bức tranh ma thuật!
;;closerToPortal;*Yavaşça portala yaklaşır*;*She steps closer to the portal*;*Se acerca lentamente al portal*;*Ela se aproxima lentamente do portal*;*Sie tritt langsam näher an das Portal heran*;*Elle s'approche lentement du portail*;*Si avvicina lentamente al portale*;*Powoli zbliża się do portalu*;*Она медленно приближается к порталу*;*慢慢地走近传送门*;*慢慢地走近傳送門*;*ゆっくりとポータルに近づく*;*천천히 포털에 다가간다*;*धीरे-धीरे पोर्टल के पास जाती है*;*تقترب ببطء من البوابة*;*ধীরে ধীরে পোর্টালের কাছে যায়*;*Dia melangkah lebih dekat ke portal*;*ค่อยๆ ก้าวเข้าไปใกล้พอร์ทัล*;*Cô ấy bước lại gần cổng hơn*
1;Althea;itsDefinitelyMagical;*Heyecanlı* Biliyordum! Yüzde yüz haklıyım! Bu kesinlikle büyülü bir resim!;*Excitedly* I knew it! I was totally right—it’s definitely a magical picture!;*Emocionada* ¡Lo sabía! ¡Tenía toda la razón, es definitivamente una imagen mágica!;*Animadamente* Eu sabia! Eu estava totalmente certo - é definitivamente uma imagem mágica!;*Aufgeregt* Ich wusste es! Ich hatte völlig recht—es ist definitiv ein magisches Bild!;*Avec excitation* Je le savais! J'avais totalement raison, c'est définitivement une image magique!;*Eccitata* Lo sapevo! Avevo totalmente ragione—è decisamente un'immagine magica!;*Podekscytowana* Wiedziałam! Miałam całkowitą rację—To jest na pewno magiczny obraz!;*Возбуждённо* Я знала! Я была совершенно права—это точно магическая картина!;*兴奋地* 我知道！我是完全正确的—这绝对是一张魔法图片！;*興奮地* 我知道！我是完全正確的—這絕對是一張魔法圖片！;*興奮して* 私は知っていた！私は完全に正しかった—これは確かに魔法の絵です！;*흥분하며* 알았어! 완전히 맞았어—이건 분명히 마법의 그림이야!;*उत्साहित होकर* मुझे पता था! मैं पूरी तरह सही था—यह निश्चित रूप से एक जादुई चित्र है!;*بحماس* كنت أعرف ذلك! كنت محقًا تمامًا—إنها بالتأكيد صورة سحرية!;*উত্তেজিত হয়ে* আমি জানতাম! আমি পুরোপুরি সঠিক ছিলাম—এটি অবশ্যই একটি যাদুকরী ছবি!;*Dengan bersemangat* Saya tahu itu! Saya benar-benar benar—ini pasti gambar ajaib!;*ตื่นเต้น* ฉันรู้แล้ว! ฉันถูกต้อง—นี่เป็นภาพวิเศษแน่นอน!;*Hào hứng* Tôi đã biết! Tôi hoàn toàn đúng—đây chắc chắn là một bức tranh ma thuật!
;;sheIsDefinitelyWrong;*Yüzde yüz haksız ^^*;*She is totally wrong ^^*;*Ella está completamente equivocada ^^*;*Ela está totalmente errada ^^*;*Sie liegt völlig falsch ^^*;*Elle a totalement tort ^^*;*Lei è totalmente sbagliata ^^*;*Ona jest całkowicie w błędzie ^^*;*Она совершенно не права ^^*;*她完全错了^^*;*她完全錯了^^*;*彼女は完全に間違っている^^*;*그녀는 완전히 틀렸다^^*;*वह पूरी तरह से गलत है ^^*;*هي مخطئة تماما ^^*;*সে পুরোপুরি ভুল ^^*;*Dia benar-benar salah ^^*;*เธอผิดทั้งหมด ^^*;*Cô ấy hoàn toàn sai ^^*
1;Althea;looksReal;Çok gerçekçi duruyor.;It looks so real!;¡Parece tan real!;Parece tão real!;Es sieht so echt aus!;Ça a l'air tellement réel!;Sembra così reale!;Wygląda tak realistycznie!;Это выглядит так реально!;看起来好真实！;看起來好真實！;すごくリアルに見える！;너무 진짜 같아 보여!;यह बहुत वास्तविक लगता है!;تبدو حقيقية جدا!;এটা খুব বাস্তব দেখাচ্ছে!;Terlihat sangat nyata!;ดูสมจริงมาก!;Trông thật là thật!
