CHAR ID;CHAR NAMES;KEYS;Turkish;English;Spanish;Portuguese;German;French;Italian;Polish;Russian;ChineseSimplified;ChineseTraditional;Japanese;Korean;Indian;Arabic;Bengali;Indonesian;Thai;Vietnamese
202;Luminaris;key_0;Savaş! Savaşmalısın! Bunu biliyorsun!!;Fight! You must fight! You know this!!;¡Lucha! ¡Debes luchar! ¡Sabes esto!;Lute! Você deve lutar! Você sabe disso!!;Kämpfe! Du musst kämpfen! Das weißt du!!;Bats-toi ! Tu dois te battre ! Tu le sais !!;Combatti! Devi combattere! Lo sai!!;;Сражайся! Ты должен сражаться! Ты знаешь это!!;战斗！你必须战斗！你知道的！！;;戦え！戦うんだ！君はこれを知っている！！;싸워라! 너는 싸워야 해! 너는 이걸 알고 있어!!;लड़ो! तुम्हें लड़ना होगा! तुम यह जानते हो!!;قاتل! يجب أن تقاتل! أنت تعرف هذا!!;যুদ্ধ কর! তোমাকে যুদ্ধ করতেই হবে! তুমি জানো এটা!!;Bertarunglah! Kamu harus bertarung! Kamu tahu ini!!;สู้! เจ้าต้องสู้! เจ้ารู้อยู่แล้ว!!;Chiến đấu! Bạn phải chiến đấu! Bạn biết điều này!!
202;Luminaris;key_1;Bu sadece bir rüya! Uyan! Kendine Gel!;This is just a dream! Wake up! Pull yourself together!;¡Esto es solo un sueño! ¡Despierta! ¡Recupérate!;Isso é apenas um sonho! Acorde! Recompõe-se!;Das ist nur ein Traum! Wach auf! Reiß dich zusammen!;C'est juste un rêve! Réveille-toi ! Ressaisis-toi !;È solo un sogno! Sveglia! Riprenditi!;;Это всего лишь сон! Проснись! Возьми себя в руки!;这只是一个梦！醒醒！振作起来！;;これはただの夢だ！目を覚ませ！しっかりしろ！;이건 그저 꿈이야! 깨어나! 정신 차려!;यह सिर्फ एक सपना है! जागो! खुद को संभालो!;هذا مجرد حلم! استيقظ! تماسَك!;এটা শুধু একটা স্বপ্ন! জেগে ওঠো! নিজেকে সামলাও!;Ini hanya mimpi! Bangun! Teguhkan dirimu!;นี่เป็นเพียงความฝัน! ตื่น! รวบรวมสติของเจ้า!;Đây chỉ là một giấc mơ! Tỉnh dậy đi! Tự trấn tĩnh lại!
202;Luminaris;key_2;Beni duyuyor musun? UYAN!;Can you hear me? WAKE UP!;¿Me oyes? ¡DESPIERTA!;Você me ouve? ACORDE!;Hörst du mich? WACH AUF!;Tu m'entends ? RÉVEILLE-TOI !;Mi senti? SVEGLIATI!;;Ты меня слышишь? ПРОСНИСЬ!;你听到我吗？醒醒！;;聞こえるか？起きろ！;내 말 들려? 깨어나!;क्या तुम मुझे सुन रहे हो? जागो!;هل تسمعني؟ استيقظ!;তুমি কি আমাকে শুনতে পাচ্ছ? জেগে ওঠো!;Kamu dengar aku? BANGUN!;ได้ยินข้าไหม? ตื่น!;Bạn có nghe thấy tôi không? TỈNH DẬY!
202;Luminaris;key_3;Eğer uyanamazsan sadece sevdiklerin değil, tüm insanlık uzun yıllar zulüm görecek!;If you don't wake up, not only your loved ones but all of humanity will suffer for many years!;¡Si no despiertas, no solo tus seres queridos, sino toda la humanidad sufrirá durante muchos años!;Se você não acordar, não só seus entes queridos, mas toda a humanidade sofrerá por muitos anos!;Wenn du nicht aufwachst, werden nicht nur deine Lieben, sondern die gesamte Menschheit für viele Jahre leiden!;Si tu ne te réveilles pas, non seulement tes proches, mais toute l'humanité souffrira pendant de nombreuses années!;Se non ti svegli, non solo i tuoi cari, ma tutta l'umanità soffrirà per molti anni!;;Если ты не проснешься, не только твои близкие, но и все человечество будет страдать долгие годы!;如果你不醒来，不仅是你所爱的人，整个世界都会受苦很多年！;;もし目を覚まさなければ、愛する人だけでなく、全人類が何年も苦しむだろう！;네가 깨어나지 않으면, 사랑하는 사람들뿐만 아니라 모든 인류가 오랫동안 고통받을 거야!;अगर तुम जागे नहीं, तो सिर्फ तुम्हारे प्रियजन ही नहीं, बल्कि पूरी मानवता कई वर्षों तक पीड़ित होगी!;إذا لم تستيقظ، لن يعاني أحباؤك فقط، بل ستعاني البشرية كلها لسنوات عديدة!;যদি তুমি না জাগো, তাহলে শুধু তোমার প্রিয়জনরাই নয়, সমগ্র মানবজাতি বহু বছর ধরে অত্যাচার ভোগ করবে!;Jika kamu tidak bangun, tidak hanya orang-orang yang kamu cintai tetapi seluruh umat manusia akan menderita selama bertahun-tahun!;ถ้าเจ้าไม่ตื่น ไม่เพียงแต่คนที่เจ้ารักเท่านั้น มนุษยชาติทั้งหมดจะต้องทนทุกข์ทรมานเป็นเวลาหลายปี!;Nếu bạn không tỉnh dậy, không chỉ những người thân yêu mà toàn bộ nhân loại sẽ phải chịu đựng trong nhiều năm!
202;Luminaris;key_4;UYAN! UYAN VE ᛖᛚᛞᚪᚹᛟᛁᛞ’lerin kimliğini herkese söyle!;WAKE UP! WAKE UP AND reveal the identity of the ᛖᛚᛞᚪᚹᛟᛁᛞ to everyone!;¡DESPIERTA! ¡DESPIERTA Y revela la identidad de los ᛖᛚᛞᚪᚹᛟᛁᛞ a todos!;ACORDE! ACORDE E revele a identidade dos ᛖᛚᛞᚪᚹᛟᛁᛞ para todos!;WACH AUF! WACH AUF UND enthülle die Identität der ᛖᛚᛞᚪᚹᛟᛁᛞ allen!;RÉVEILLE-TOI! RÉVEILLE-TOI ET révèle l'identité des ᛖᛚᛞᚪᚹᛟᛁᛞ à tout le monde!;SVEGLIATI! SVEGLIATI E rivela l'identità dei ᛖᛚᛞᚪᚹᛟᛁᛞ a tutti!;;ПРОСНИСЬ! ПРОСНИСЬ И раскрой личность ᛖᛚᛞᚪᚹᛟᛁᛞ всем!;醒醒！醒醒并向所有人揭露ᛖᛚᛞᚪᚹᛟᛁᛞ的身份！;;目を覚ませ！目を覚まして、すべての人にᛖᛚᛞᚪᚹᛟᛁᛞの正体を明らかにしろ！;깨어나! 깨어나고 ᛖᛚᛞᚪᚹᛟᛁᛞ의 정체를 모두에게 밝혀라!;जागो! जागो और ᛖᛚᛞᚪᚹᛟᛁᛞ की पहचान को सबके सामने प्रकट करो!;استيقظ! استيقظ وكشف هوية ᛖᛚᛞᚪᚹᛟᛁᛞ للجميع!;জাগো! জাগো এবং ᛖᛚᛞᚪᚹᛟᛁᛞ-এর পরিচয় সবাইকে বলো!;Bangun! Bangun dan ungkapkan identitas ᛖᛚᛞᚪᚹᛟᛁᛞ kepada semua orang!;ตื่น! ตื่นและเปิดเผยตัวตนของ ᛖᛚᛞᚪᚹᛟᛁᛞ แก่ทุกคน!;Tỉnh dậy! Tỉnh dậy và tiết lộ danh tính của ᛖᛚᛞᚪᚹᛟᛁᛞ cho mọi người!
202;Luminaris;key_5;BİLMELERİ GEREK! UYAN!;They need to know! WAKE UP!;¡Necesitan saberlo! ¡DESPIERTA!;Eles precisam saber! ACORDE!;Sie müssen es wissen! WACH AUF!;Ils doivent savoir ! RÉVEILLE-TOI !;Devono saperlo! SVEGLIATI!;;Они должны знать! ПРОСНИСЬ!;他们需要知道！醒醒！;;彼らは知る必要がある！目を覚ませ！;그들은 알아야 해! 깨어나!;उन्हें जानना चाहिए! जागो!;يجب أن يعرفوا! استيقظ!;তাদের জানতে হবে! জেগে ওঠো!;Mereka perlu tahu! Bangun!;พวกเขาจำเป็นต้องรู้! ตื่น!;Họ cần phải biết! Tỉnh dậy!
1;ArasSelin;key_6;*Aras aniden gözlerini açtı, nefesi kesik kesikti, alnından terler süzülüyordu. Kalbi göğsüne çarpıyordu.*;*Aras suddenly opened his eyes, his breath was short, and sweat was dripping from his forehead. His heart was pounding in his chest.*;*Aras de repente abrió los ojos, su respiración era entrecortada, y el sudor goteaba de su frente. Su corazón latía con fuerza en su pecho.*;*Aras de repente abriu os olhos, sua respiração estava curta, e o suor escorria de sua testa. Seu coração batia forte em seu peito.*;*Aras öffnete plötzlich die Augen, sein Atem war kurz, und Schweiß tropfte von seiner Stirn. Sein Herz schlug in seiner Brust.*;*Aras ouvrit soudain les yeux, son souffle était court, et la sueur coulait de son front. Son cœur battait dans sa poitrine.*;*Aras aprì improvvisamente gli occhi, il respiro era corto, e il sudore gli gocciolava dalla fronte. Il cuore gli batteva nel petto.*;;*Арас внезапно открыл глаза, его дыхание было прерывистым, пот стекал с его лба. Его сердце колотилось в груди.*;*阿拉斯突然睁开眼睛，呼吸急促，汗水从额头上滴落。他的心在胸口砰砰直跳。*;;*アラスは突然目を開け、息が切れ、額から汗が滴り落ちていた。心臓が胸の中で激しく鼓動していた。*;*아라스는 갑자기 눈을 떴고, 숨이 가빠지고 이마에서 땀이 흘러내렸다. 그의 심장은 가슴 속에서 뛰고 있었다.*;*अरास ने अचानक अपनी आँखें खोलीं, उसकी सांसें तेज़ थीं, और उसके माथे से पसीना बह रहा था। उसका दिल उसकी छाती में धड़क रहा था।*;*أراس فتح عينيه فجأة، كان نفسه قصيرًا، وكان العرق يتصبب من جبهته. قلبه كان ينبض في صدره.*;*আরাস হঠাৎ করে চোখ খুলে ফেলল, তার শ্বাস কাটা কাটা ছিল, এবং তার কপাল থেকে ঘাম ঝরছিল। তার হৃদয় বুকে ধকধক করছিল।*;*Aras tiba-tiba membuka matanya, napasnya pendek, dan keringat menetes dari dahinya. Jantungnya berdebar di dadanya.*;*อาราสลืมตาขึ้นอย่างกะทันหัน หายใจหอบ และเหงื่อไหลจากหน้าผาก หัวใจของเขาเต้นระรัวอยู่ในอก*;*Aras đột nhiên mở mắt, hơi thở gấp gáp, mồ hôi chảy ròng ròng trên trán. Tim anh đập thình thịch trong lồng ngực.*
1;ArasSelin;key_7;*Çok heyecanlıydı. Bugün üniversitenin ilk günüydü!*;*He was very excited. Today was the first day of university!*;*Estaba muy emocionado. ¡Hoy era el primer día de la universidad!*;*Ele estava muito animado. Hoje era o primeiro dia de universidade!*;*Er war sehr aufgeregt. Heute war der erste Tag der Universität!*;*Il était très excité. Aujourd'hui était le premier jour de l'université!*;*Era molto emozionato. Oggi era il primo giorno di università!*;;*Он был очень взволнован. Сегодня был первый день университета!*;*他非常激动。今天是大学的第一天！*;;*彼はとても興奮していた。今日は大学の初日だった！*;*그는 매우 흥분했다. 오늘은 대학의 첫 날이었다!*;*वह बहुत उत्साहित था। आज विश्वविद्यालय का पहला दिन था!*;*كان متحمسًا جدًا. اليوم كان اليوم الأول في الجامعة!*;*তিনি খুব উত্তেজিত ছিলেন। আজ ছিল বিশ্ববিদ্যালয়ের প্রথম দিন!*;*Dia sangat bersemangat. Hari ini adalah hari pertama di universitas!*;*เขาตื่นเต้นมาก วันนี้เป็นวันแรกของมหาวิทยาลัย!*;*Anh ấy rất phấn khích. Hôm nay là ngày đầu tiên của đại học!*
1;ArasSelin;key_8;*Saate bir bakış atar.*;*He takes a look at the clock.*;*Echa un vistazo al reloj.*;*Ele dá uma olhada no relógio.*;*Er wirft einen Blick auf die Uhr.*;*Il jette un coup d'œil à l'horloge.*;*Dà un'occhiata all'orologio.*;;*Он бросает взгляд на часы.*;*他看了一眼钟。*;;*彼は時計をちらっと見る。*;*그는 시계를 한 번 본다.*;*वह घड़ी की ओर देखता है।*;*يلقي نظرة على الساعة.*;*সে ঘড়ির দিকে একবার তাকায়।*;*Dia melirik jam.*;*เขาดูที่นาฬิกา*;*Anh ấy nhìn vào đồng hồ.*
1;ArasSelin;key_9;*Şaşkınlıkla* Eyvah! Daha ilk günden geç kalacağım!;*In shock* Oh no! I'm going to be late on the very first day!;*Con sorpresa* ¡Oh no! ¡Voy a llegar tarde el primer día!;*Com surpresa* Oh não! Vou me atrasar logo no primeiro dia!;*Erstaunt* Oh nein! Ich werde gleich am ersten Tag zu spät kommen!;*Avec surprise* Oh non! Je vais être en retard dès le premier jour!;*Sorpreso* Oh no! Farò tardi proprio il primo giorno!;;*С удивлением* О нет! Я опоздаю в самый первый день!;*惊讶地* 哦不！第一天我就要迟到了！;;*驚いて* ああ、まずい！初日から遅れるなんて！;*놀라서* 이런! 첫날부터 늦겠어!;*आश्चर्य में* ओह नहीं! पहले ही दिन मैं देर से पहुँचूँगा!;*بدهشة* يا إلهي! سأكون متأخراً في اليوم الأول!;*হতবাক হয়ে* ওহ না! প্রথম দিনেই দেরি হয়ে যাবে!;*Dengan kaget* Oh tidak! Aku akan terlambat di hari pertama!;*ด้วยความตกใจ* โอ้ ไม่นะ! วันแรกก็สายแล้ว!;*Bất ngờ* Ôi không! Mình sẽ trễ ngay ngày đầu tiên!
